ID,Raw_Text,Intent,Symptoms,Duration,Location,Severity,Case_Category,Processed_Text,Text_Length,Processed_Length,Word_Count
1,Badan saya terasa lemas dan demam sejak dua hari lalu.,keluhan_utama,"demam,lemas",2 hari, ,sedang,Diabetes,badan terasa lemas demam sejak dua hari lalu,54,44,8
2,Saya mengalami sesak napas disertai batuk berdahak selama seminggu ini.,keluhan_utama,"batuk,sesak",7 hari, ,sedang,ISPA,mengalami sesak napas disertai batuk berdahak selama seminggu,71,61,8
3,"Perut saya terasa nyeri di bagian ulu hati setelah makan, sudah sekitar 3 hari.",keluhan_utama,nyeri, ,ulu hati,sedang,Gastritis,perut terasa nyeri bagian ulu hati setelah makan sudah sekitar 3 hari,79,69,12
4,"Kulit saya gatal-gatal dan muncul ruam merah di lengan, kira-kira 5 hari yang lalu.",keluhan_utama,"gatal,ruam",5 hari,lengan,sedang,Dermatitis,kulit gatal gatal muncul ruam merah lengan kira kira 5 hari lalu,83,64,12
5,"Tekanan darah saya sering naik, terutama saat sedang banyak pikiran.",keluhan_utama, , , ,sedang, ,tekanan darah sering naik terutama saat sedang banyak pikiran,68,61,9
6,Sudah beberapa hari ini saya merasa mual dan ingin muntah!,keluhan_utama,"mual,muntah",3 hari, ,sedang,Gastritis,sudah beberapa hari merasa mual muntah,58,38,6
7,"Telinga saya berdenging terus-menerus, sangat mengganggu.",keluhan_utama,berdenging, ,telinga,berat,Hipertensi,telinga berdenging terus menerus sangat mengganggu,57,50,6
8,"Penglihatan saya agak kabur akhir-akhir ini, terutama saat melihat jauh.",keluhan_utama, , , ,ringan, ,penglihatan agak kabur akhir akhir terutama saat melihat jauh,72,61,9
9,"Kaki saya bengkak, terutama saat sore hari setelah banyak beraktivitas.",keluhan_utama,bengkak, ,kaki,sedang, ,kaki bengkak terutama saat sore hari setelah banyak beraktivitas,71,64,9
10,Saya merasa sangat khawatir dan cemas akhir-akhir ini.,keluhan_utama, , , ,berat, ,merasa sangat khawatir cemas akhir akhir,54,40,6
11,Saya merasa demam dan badan pegal-pegal dari kemarin sore.,keluhan_utama,demam, , ,sedang,Demam_Typhoid,merasa demam badan pegal pegal kemarin sore,58,43,7
12,Sudah dua hari ini saya mengalami diare disertai mual.,keluhan_utama,"mual,diare",2 hari, ,sedang,Gastritis,sudah dua hari mengalami diare disertai mual,54,44,7
13,"Tenggorokan saya sakit saat menelan, seperti ada yang mengganjal.",keluhan_utama,sakit, ,tenggorokan,sedang,ISPA,tenggorokan sakit saat menelan mengganjal,65,41,5
14,Kulit saya gatal-gatal dan muncul ruam merah di bagian lengan.,keluhan_utama,"gatal,ruam", ,lengan,sedang,Dermatitis,kulit gatal gatal muncul ruam merah bagian lengan,62,49,8
15,Saya merasa sesak napas dan dada terasa berat beberapa hari ini!,keluhan_utama,sesak,3 hari,dada,sedang,ISPA,merasa sesak napas dada terasa berat beberapa hari,64,50,8
16,"Tekanan darah saya tinggi sekali, sudah beberapa kali diperiksa sendiri di rumah.",keluhan_utama, , , ,berat, ,tekanan darah tinggi sekali sudah beberapa kali diperiksa rumah,81,63,9
17,"Perut saya terasa perih dan mual setelah makan, terutama makanan pedas.",keluhan_utama,"mual,perih", ,perut,sedang,Gastritis,perut terasa perih mual setelah makan terutama makanan pedas,71,60,9
18,Saya mengalami nyeri punggung bawah yang menjalar sampai kaki.,keluhan_utama,nyeri, ,kaki,sedang, ,mengalami nyeri punggung bawah menjalar sampai kaki,62,51,7
19,"Kaki saya bengkak, terutama di bagian pergelangan, sudah seminggu ini.",keluhan_utama,bengkak,7 hari,kaki,sedang, ,kaki bengkak terutama bagian pergelangan sudah seminggu,70,55,7
20,"Saya sering merasa lelah dan pusing, bahkan setelah istirahat cukup.",keluhan_utama,pusing, , ,sedang,Hipertensi,sering merasa lelah pusing bahkan setelah istirahat cukup,68,57,8
21,Badan saya terasa lemas dan tidak enak sejak dua hari lalu.,keluhan_utama,lemas,2 hari, ,sedang,Diabetes,badan terasa lemas tidak enak sejak dua hari lalu,59,49,9
22,Saya demam tinggi disertai menggigil dari semalam.,keluhan_utama,demam,1 hari, ,sedang,Demam_Typhoid,demam tinggi disertai menggigil semalam,50,39,5
